iteracion,timestamp,theta,x,y,sigma_theta,sigma_x,sigma_y,lm0_x,lm0_y,lm1_x,lm1_y,z_diff_range,z_diff_bearing
81,1779735453.993342,-0.000268,0.000587,0.000376,0.017160,0.016768,0.015624,-0.500933,-0.699578,0.798690,-0.800057,0.000198,-0.001039
82,1779735454.051439,0.000043,0.000322,0.000518,0.014836,0.014399,0.014669,-0.500936,-0.699579,0.798690,-0.800034,-0.000262,-0.001107
83,1779735454.123763,-0.000071,0.000388,0.000638,0.014186,0.013784,0.014011,-0.500936,-0.699569,0.798688,-0.800033,-0.000219,0.000606
84,1779735454.282359,0.000285,0.000791,0.000510,0.020357,0.018304,0.018062,-0.500943,-0.699569,0.798695,-0.800030,0.000238,-0.001121
85,1779735454.380549,-0.000379,0.000466,0.000085,0.017157,0.016768,0.015622,-0.500986,-0.699574,0.798752,-0.800016,0.000557,0.002368
86,1779735454.445074,0.000222,-0.000240,-0.000186,0.014828,0.014399,0.014668,-0.501001,-0.699606,0.798740,-0.800004,0.001596,-0.001797
87,1779735454.508680,-0.000055,-0.000157,0.000205,0.014180,0.013785,0.014012,-0.501006,-0.699577,0.798734,-0.799994,-0.001209,0.001492
88,1779735454.621122,-0.000316,-0.000950,-0.000425,0.020360,0.018299,0.018057,-0.500988,-0.699557,0.798724,-0.800003,-0.001805,0.000793
89,1779735454.649960,-0.000096,-0.000868,-0.000277,0.017143,0.016761,0.015620,-0.500976,-0.699555,0.798708,-0.800008,-0.000111,-0.000743
90,1779735454.679521,-0.000915,0.000136,0.000211,0.014821,0.014399,0.014667,-0.500953,-0.699508,0.798727,-0.800016,-0.002633,0.002373
91,1779735454.711798,-0.001031,0.000046,0.000523,0.014174,0.013785,0.014012,-0.500962,-0.699489,0.798717,-0.800005,-0.001551,0.000635
92,1779735454.865332,-0.001055,-0.000838,-0.000714,0.020347,0.018299,0.018054,-0.500939,-0.699455,0.798707,-0.800018,-0.002821,0.000023
93,1779735454.911284,-0.000269,-0.000935,-0.000072,0.017137,0.016759,0.015617,-0.500916,-0.699442,0.798689,-0.800044,0.000755,-0.002047
94,1779735454.929507,-0.000487,-0.000536,0.000427,0.014820,0.014398,0.014666,-0.500903,-0.699412,0.798701,-0.800027,-0.002127,0.000402
95,1779735454.982625,-0.000534,-0.000387,0.000332,0.014177,0.013785,0.014011,-0.500897,-0.699416,0.798707,-0.800033,0.000924,0.000238
96,1779735455.203456,-0.000317,-0.000486,-0.000249,0.020354,0.018295,0.018049,-0.500891,-0.699403,0.798707,-0.800036,-0.000986,-0.000708
97,1779735455.259184,-0.000530,-0.000187,-0.000502,0.017145,0.016757,0.015615,-0.500885,-0.699409,0.798688,-0.800024,-0.001008,0.000128
98,1779735455.281425,-0.000375,-0.000352,-0.000523,0.014823,0.014396,0.014665,-0.500887,-0.699414,0.798687,-0.800019,0.000225,-0.000495
99,1779735455.296124,-0.000592,-0.000187,-0.000340,0.014176,0.013785,0.014012,-0.500887,-0.699400,0.798686,-0.800019,-0.000094,0.001151
100,1779735455.344691,-0.000734,-0.000688,-0.000781,0.020357,0.018290,0.018047,-0.500876,-0.699388,0.798681,-0.800024,-0.001204,0.000428
101,1779735455.356959,-0.000277,-0.001094,-0.000309,0.017141,0.016753,0.015612,-0.500879,-0.699377,0.798700,-0.800044,0.001469,-0.000639
102,1779735455.370138,-0.000489,-0.000683,0.000241,0.014825,0.014396,0.014663,-0.500866,-0.699347,0.798713,-0.800025,-0.002318,0.000350
103,1779735455.382553,-0.000782,-0.000548,0.000597,0.014182,0.013785,0.014011,-0.500869,-0.699324,0.798708,-0.800019,-0.000881,0.001570
104,1779735455.416689,-0.000854,-0.000487,0.000830,0.020353,0.018292,0.018043,-0.500871,-0.699330,0.798709,-0.800018,0.000418,0.000235
105,1779735455.432851,-0.000935,-0.000313,0.000716,0.017141,0.016755,0.015611,-0.500866,-0.699333,0.798698,-0.800012,-0.000563,-0.000045
106,1779735455.445326,-0.000839,-0.000362,0.000854,0.014828,0.014394,0.014663,-0.500865,-0.699329,0.798699,-0.800003,-0.000442,-0.000402
107,1779735455.458102,-0.000679,-0.000324,0.000526,0.014184,0.013784,0.014011,-0.500858,-0.699347,0.798707,-0.800011,0.001415,-0.000868
108,1779735455.599676,-0.000587,-0.000310,0.000362,0.020359,0.018290,0.018042,-0.500857,-0.699344,0.798707,-0.800012,-0.000234,-0.000294
109,1779735455.612194,-0.000172,-0.000651,0.000783,0.017144,0.016753,0.015609,-0.500859,-0.699335,0.798721,-0.800029,0.001248,-0.000624
110,1779735455.629600,-0.000150,-0.000858,0.000263,0.014830,0.014393,0.014662,-0.500868,-0.699357,0.798712,-0.800051,0.002027,0.000255
111,1779735455.644760,-0.000336,-0.000564,0.000235,0.014185,0.013784,0.014011,-0.500862,-0.699354,0.798718,-0.800059,0.001210,0.000962
112,1779735455.816112,0.000152,-0.000757,-0.001027,0.020363,0.018287,0.018038,-0.500852,-0.699329,0.798718,-0.800066,-0.002114,-0.001584
113,1779735455.835263,0.000343,-0.000508,-0.000948,0.017144,0.016748,0.015607,-0.500837,-0.699330,0.798694,-0.800067,-0.000618,-0.000927
114,1779735455.854098,0.000417,-0.000630,-0.001081,0.014821,0.014394,0.014661,-0.500839,-0.699337,0.798691,-0.800070,0.000580,-0.000156
115,1779735455.873379,-0.000071,-0.000301,-0.000618,0.014175,0.013785,0.014012,-0.500840,-0.699307,0.798688,-0.800068,-0.000575,0.002587
116,1779735456.016615,-0.000605,0.000070,0.000995,0.020356,0.018282,0.018036,-0.500854,-0.699338,0.798688,-0.800059,0.002833,0.001745
117,1779735456.031742,-0.001271,-0.000236,0.000566,0.017139,0.016749,0.015604,-0.500887,-0.699341,0.798727,-0.800050,0.000508,0.002333
118,1779735456.054123,-0.001074,-0.000548,0.000250,0.014829,0.014391,0.014660,-0.500895,-0.699358,0.798720,-0.800057,0.001400,-0.000446
119,1779735456.069031,-0.001432,-0.000339,0.000628,0.014187,0.013784,0.014011,-0.500896,-0.699335,0.798717,-0.800053,-0.000690,0.001904
120,1779735456.226712,-0.001153,-0.000613,-0.000330,0.020356,0.018286,0.018036,-0.500888,-0.699317,0.798716,-0.800059,-0.001741,-0.000914
121,1779735456.244082,-0.000904,-0.000663,-0.000122,0.017136,0.016747,0.015604,-0.500883,-0.699314,0.798713,-0.800065,0.000292,-0.000618
122,1779735456.259694,-0.000634,-0.000870,0.000065,0.014820,0.014392,0.014660,-0.500883,-0.699312,0.798714,-0.800049,-0.000477,-0.000998
123,1779735456.272500,-0.000481,-0.000928,-0.000138,0.014180,0.013785,0.014011,-0.500881,-0.699323,0.798716,-0.800052,0.000570,-0.000826
124,1779735456.419976,-0.000338,-0.000518,0.000172,0.020361,0.018281,0.018031,-0.500888,-0.699330,0.798720,-0.800049,0.000904,-0.000434
125,1779735456.443631,-0.000470,-0.001029,0.000216,0.017141,0.016745,0.015602,-0.500911,-0.699325,0.798756,-0.800055,0.001425,0.001168
126,1779735456.469256,-0.000549,-0.001011,0.000040,0.014826,0.014391,0.014659,-0.500913,-0.699330,0.798754,-0.800064,0.000606,0.000369
127,1779735456.485126,-0.000180,-0.001202,-0.000381,0.014184,0.013784,0.014011,-0.500910,-0.699353,0.798758,-0.800069,0.000925,-0.001969
128,1779735456.638294,0.000730,-0.000100,-0.000608,0.020366,0.018279,0.018029,-0.500922,-0.699354,0.798770,-0.800065,0.000834,-0.002866
129,1779735456.661556,0.000600,-0.000763,-0.000521,0.017149,0.016743,0.015600,-0.500950,-0.699349,0.798816,-0.800072,0.001872,0.001405
130,1779735456.692373,0.000038,-0.000151,-0.000398,0.014828,0.014391,0.014658,-0.500943,-0.699334,0.798821,-0.800085,-0.000982,0.001755
131,1779735456.728305,-0.000147,-0.000168,-0.000053,0.014183,0.013784,0.014011,-0.500949,-0.699317,0.798814,-0.800078,-0.001411,0.000994
132,1779735456.768247,-0.000900,-0.000950,0.000322,0.020352,0.018281,0.018030,-0.500942,-0.699320,0.798805,-0.800081,-0.000269,0.002374
133,1779735456.782432,-0.001018,-0.000997,0.000244,0.017123,0.016743,0.015600,-0.500947,-0.699320,0.798811,-0.800079,0.000070,0.000404
134,1779735456.798226,-0.000844,-0.001228,0.000093,0.014818,0.014391,0.014658,-0.500951,-0.699328,0.798807,-0.800080,0.000743,-0.000474
